met,altitude_km,velocity_ms,dynamic_pressure_kpa,thrust_kn,pitch_deg,booster_active,booster_alt_km,booster_vel_ms,booster_thrust_kn
10.24,0.755,101.06,6.18,242.4,88.69,0,0.0,0.0,0.0
10.28,0.759,101.5,6.23,243.0,88.69,0,0.0,0.0,0.0
10.32,0.763,101.92,6.28,242.8,88.68,0,0.0,0.0,0.0
10.38,0.769,102.57,6.35,242.7,88.67,0,0.0,0.0,0.0
10.44,0.775,103.22,6.43,242.4,88.67,0,0.0,0.0,0.0
10.48,0.779,103.65,6.48,242.7,88.66,0,0.0,0.0,0.0
10.52,0.783,104.08,6.53,242.8,88.65,0,0.0,0.0,0.0
10.58,0.79,104.73,6.61,242.4,88.65,0,0.0,0.0,0.0
10.64,0.796,105.38,6.69,243.2,88.64,0,0.0,0.0,0.0
10.68,0.8,105.81,6.74,242.6,88.63,0,0.0,0.0,0.0
10.72,0.804,106.25,6.79,243.0,88.63,0,0.0,0.0,0.0
10.78,0.811,106.9,6.87,243.1,88.62,0,0.0,0.0,0.0
10.84,0.817,107.55,6.95,243.1,88.61,0,0.0,0.0,0.0
10.88,0.822,107.98,7.0,243.0,88.6,0,0.0,0.0,0.0
10.94,0.828,108.64,7.08,243.0,88.59,0,0.0,0.0,0.0
10.98,0.832,109.07,7.14,242.8,88.59,0,0.0,0.0,0.0
11.04,0.839,109.73,7.22,243.5,88.58,0,0.0,0.0,0.0
11.08,0.843,110.16,7.27,243.3,88.57,0,0.0,0.0,0.0
11.14,0.85,110.82,7.35,243.4,88.56,0,0.0,0.0,0.0
11.18,0.854,111.26,7.41,243.2,88.55,0,0.0,0.0,0.0
11.24,0.861,111.92,7.49,243.5,88.54,0,0.0,0.0,0.0
11.28,0.866,112.36,7.55,243.7,88.54,0,0.0,0.0,0.0
11.34,0.872,113.02,7.63,242.9,88.53,0,0.0,0.0,0.0
11.4,0.879,113.68,7.71,242.9,88.52,0,0.0,0.0,0.0
11.44,0.884,114.12,7.77,242.9,88.51,0,0.0,0.0,0.0
11.48,0.888,114.56,7.83,243.9,88.5,0,0.0,0.0,0.0
11.54,0.895,115.22,7.91,243.4,88.49,0,0.0,0.0,0.0
11.6,0.902,115.89,8.0,243.4,88.48,0,0.0,0.0,0.0
11.64,0.907,116.33,8.05,242.9,88.47,0,0.0,0.0,0.0
11.7,0.914,117.0,8.14,243.2,88.46,0,0.0,0.0,0.0
11.74,0.919,117.44,8.2,243.4,88.45,0,0.0,0.0,0.0
11.78,0.923,117.89,8.26,243.7,88.44,0,0.0,0.0,0.0
11.84,0.93,118.55,8.34,243.2,88.43,0,0.0,0.0,0.0
11.9,0.938,119.22,8.43,244.0,88.42,0,0.0,0.0,0.0
11.94,0.942,119.67,8.49,243.3,88.41,0,0.0,0.0,0.0
11.98,0.947,120.11,8.55,243.7,88.4,0,0.0,0.0,0.0
12.04,0.954,120.78,8.64,243.3,88.39,0,0.0,0.0,0.0
12.08,0.959,121.23,8.7,243.5,88.38,0,0.0,0.0,0.0
12.14,0.966,121.9,8.79,243.8,88.37,0,0.0,0.0,0.0
12.2,0.974,122.57,8.88,243.2,88.36,0,0.0,0.0,0.0
12.24,0.979,123.02,8.94,243.5,88.36,0,0.0,0.0,0.0
12.3,0.986,123.69,9.03,243.3,88.36,0,0.0,0.0,0.0
12.34,0.991,124.14,9.09,244.1,88.36,0,0.0,0.0,0.0
12.38,0.996,124.59,9.15,243.9,88.36,0,0.0,0.0,0.0
12.44,1.004,125.27,9.24,244.1,88.36,0,0.0,0.0,0.0
12.5,1.011,125.94,9.33,243.6,88.36,0,0.0,0.0,0.0
12.54,1.016,126.4,9.39,244.2,88.37,0,0.0,0.0,0.0
12.58,1.021,126.85,9.46,243.9,88.37,0,0.0,0.0,0.0
12.64,1.029,127.53,9.55,243.9,88.38,0,0.0,0.0,0.0
12.68,1.034,127.98,9.61,244.3,88.39,0,0.0,0.0,0.0
12.74,1.042,128.66,9.71,243.6,88.4,0,0.0,0.0,0.0
12.8,1.049,129.35,9.8,243.8,88.42,0,0.0,0.0,0.0
12.84,1.055,129.8,9.86,243.4,88.43,0,0.0,0.0,0.0
12.9,1.062,130.48,9.96,244.4,88.44,0,0.0,0.0,0.0
12.94,1.068,130.94,10.02,243.5,88.45,0,0.0,0.0,0.0
13.0,1.076,131.62,10.12,244.5,88.47,0,0.0,0.0,0.0
13.04,1.081,132.08,10.18,244.5,88.48,0,0.0,0.0,0.0
13.1,1.089,132.77,10.28,244.4,88.5,0,0.0,0.0,0.0
13.16,1.097,133.46,10.38,244.5,88.52,0,0.0,0.0,0.0
13.2,1.102,133.92,10.44,244.7,88.53,0,0.0,0.0,0.0
13.24,1.107,134.38,10.51,244.4,88.54,0,0.0,0.0,0.0
13.28,1.113,134.84,10.58,244.4,88.55,0,0.0,0.0,0.0
13.28,1.113,134.84,10.58,243.8,88.56,0,0.0,0.0,0.0
13.34,1.121,135.53,10.67,244.2,88.57,0,0.0,0.0,0.0
13.4,1.129,136.22,10.77,244.1,88.59,0,0.0,0.0,0.0
13.46,1.137,136.91,10.87,244.1,88.6,0,0.0,0.0,0.0
13.5,1.143,137.37,10.94,244.7,88.61,0,0.0,0.0,0.0
13.56,1.151,138.07,11.04,244.9,88.63,0,0.0,0.0,0.0
13.6,1.157,138.53,11.11,244.3,88.64,0,0.0,0.0,0.0
13.66,1.165,139.23,11.21,244.5,88.65,0,0.0,0.0,0.0
13.7,1.171,139.69,11.28,244.3,88.66,0,0.0,0.0,0.0
13.76,1.179,140.39,11.38,244.4,88.66,0,0.0,0.0,0.0
13.82,1.187,141.09,11.48,245.0,88.67,0,0.0,0.0,0.0
13.86,1.193,141.56,11.55,245.2,88.67,0,0.0,0.0,0.0
13.9,1.199,142.03,11.62,245.4,88.68,0,0.0,0.0,0.0
13.96,1.207,142.73,11.72,245.4,88.68,0,0.0,0.0,0.0
